Symbol,Industry
OBEROIRLTY,Realty
ONGC,Oil Gas & Consumable Fuels
OIL,Oil Gas & Consumable Fuels
OLECTRA,Automobile and Auto Components
PAYTM,Financial Services
OFSS,Information Technology
ORIENTELEC,Consumer Durables
POLICYBZR,Financial Services
PCBL,Chemicals
PIIND,Chemicals
PNBHOUSING,Financial Services
PNCINFRA,Construction
PVRINOX,Media Entertainment & Publication
PAGEIND,Textiles
PATANJALI,Fast Moving Consumer Goods
PERSISTENT,Information Technology
PETRONET,Oil Gas & Consumable Fuels
PFIZER,Healthcare
PHOENIXLTD,Realty
PIDILITIND,Chemicals
PEL,Financial Services
PPLPHARMA,Healthcare
POLYMED,Healthcare
POLYCAB,Capital Goods
POLYPLEX,Capital Goods
POONAWALLA,Financial Services
PFC,Financial Services
POWERGRID,Power
PRAJIND,Capital Goods
PRESTIGE,Realty
PRINCEPIPE,Capital Goods
PRSMJOHNSN,Construction Materials
PGHH,Fast Moving Consumer Goods
PNB,Financial Services
QUESS,Services
RBLBANK,Financial Services
RECLTD,Financial Services
RHIM,Capital Goods
RITES,Construction
RADICO,Fast Moving Consumer Goods
RVNL,Construction
RAIN,Chemicals
RAINBOW,Healthcare
RAJESHEXPO,Consumer Durables
RALLIS,Chemicals
RCF,Chemicals
RATNAMANI,Capital Goods
RTNINDIA,Services
RAYMOND,Textiles
REDINGTON,Services
RELAXO,Consumer Durables
RELIANCE,Oil Gas & Consumable Fuels
RBA,Consumer Services
ROSSARI,Chemicals
ROUTE,Telecommunication
SBICARD,Financial Services
SBILIFE,Financial Services
SJVN,Power
SKFINDIA,Capital Goods
SRF,Chemicals
MOTHERSON,Automobile and Auto Components
SANOFI,Healthcare
SAPPHIRE,Consumer Services
SCHAEFFLER,Automobile and Auto Components
SHARDACROP,Chemicals
SHOPERSTOP,Consumer Services
SHREECEM,Construction Materials
RENUKA,Fast Moving Consumer Goods
SHRIRAMFIN,Financial Services
SHYAMMETL,Metals & Mining
SIEMENS,Capital Goods
SOBHA,Realty
SOLARINDS,Chemicals
SONACOMS,Automobile and Auto Components
SONATSOFTW,Information Technology
STARHEALTH,Financial Services
SBIN,Financial Services
SAIL,Metals & Mining
SWSOLAR,Construction
STLTECH,Telecommunication
SUMICHEM,Chemicals
SPARC,Healthcare
SUNPHARMA,Healthcare
SUNTV,Media Entertainment & Publication
SUNDARMFIN,Financial Services
SUNDRMFAST,Automobile and Auto Components
SUNTECK,Realty
SUPRAJIT,Automobile and Auto Components
SUPREMEIND,Capital Goods
SUVENPHAR,Healthcare
SUZLON,Capital Goods
SWANENERGY,Realty
SYNGENE,Healthcare
TCIEXP,Services
TCNSBRANDS,Textiles
TTKPRESTIG,Consumer Durables
TV18BRDCST,Media Entertainment & Publication
TVSMOTOR,Automobile and Auto Components
TMB,Financial Services
TANLA,Information Technology
TATACHEM,Chemicals
TATACOMM,Telecommunication
TCS,Information Technology
TATACONSUM,Fast Moving Consumer Goods
TATAELXSI,Information Technology
TATAINVEST,Financial Services
TATAMTRDVR,Automobile and Auto Components
TATAMOTORS,Automobile and Auto Components
TATAPOWER,Power
TATASTEEL,Metals & Mining
TTML,Telecommunication
TEAMLEASE,Services
TECHM,Information Technology
TEJASNET,Telecommunication
NIACL,Financial Services
RAMCOCEM,Construction Materials
THERMAX,Capital Goods
TIMKEN,Capital Goods
TITAN,Consumer Durables
TORNTPHARM,Healthcare
TORNTPOWER,Power
TCI,Services
TRENT,Consumer Services
TRIDENT,Textiles
TRIVENI,Fast Moving Consumer Goods
TRITURBINE,Capital Goods
TIINDIA,Automobile and Auto Components
UCOBANK,Financial Services
UFLEX,Capital Goods
UNOMINDA,Automobile and Auto Components
UPL,Chemicals
UTIAMC,Financial Services
ULTRACEMCO,Construction Materials
UNIONBANK,Financial Services
UBL,Fast Moving Consumer Goods
MCDOWELL-N,Fast Moving Consumer Goods
VGUARD,Consumer Durables
VMART,Consumer Services
VIPIND,Consumer Durables
VAIBHAVGBL,Consumer Durables
VTL,Textiles
VARROC,Automobile and Auto Components
VBL,Fast Moving Consumer Goods
MANYAVAR,Consumer Services
VEDL,Metals & Mining
VIJAYA,Healthcare
VINATIORGA,Chemicals
IDEA,Telecommunication
VOLTAS,Consumer Durables
WELCORP,Capital Goods
WELSPUNIND,Textiles
WESTLIFE,Consumer Services
WHIRLPOOL,Consumer Durables
WIPRO,Information Technology
YESBANK,Financial Services
ZFCVINDIA,Automobile and Auto Components
ZEEL,Media Entertainment & Publication
ZENSARTECH,Information Technology
ZOMATO,Consumer Services
ZYDUSLIFE,Healthcare
ZYDUSWELL,Fast Moving Consumer Goods
ECLERX,Services
